Route,Run,0
639,1,10663.864643248404
639,2,11322.741120482731
64,1,16448.794604218925
64,2,16956.356911304436
640,1,8110.745428739649
640,2,7114.806570981043
642,1,8641.861361727304
642,2,8661.776146025888
642,3,769.5522042603882
643,1,5244.66344203613
643,2,5391.330399675472
646,1,12620.791451912368
646,2,13607.020569103091
648,1,8227.07407060384
648,2,8411.423894059924
649,1,7595.550289268134
649,2,7954.013585258996
65,1,13807.398387796633
65,2,13879.256999186648
650,1,6610.115661074355
650,2,6903.320505415425
651,1,8154.393781215643
651,2,8318.208747832434
652,1,11387.356638930678
652,2,11230.83625289283
653,1,11573.701569348295
653,2,11585.223108946828
654,1,14850.473909888648
654,2,16148.194393305806
655,1,6434.386501307877
655,2,6981.945858304465
656,1,7986.944576884451
656,2,7958.907743902546
657,1,5845.633750994532
657,2,5985.873344199486
658,1,8588.352866182819
658,2,8263.313734845788
66,1,13972.936033516724
66,2,14304.466083121177
660,1,8798.457514017162
660,2,8761.259324478524
661,1,6677.136768107364
661,2,6674.777953976675
662,1,5936.985068806286
662,2,6022.178694406309
663,1,6298.084109651792
663,2,6451.989693554714
664,1,17762.520583229325
664,2,17694.763279593746
665,1,7037.069006920459
665,2,7185.219534665022
667,1,8718.950075312983
667,2,8882.128285933311
669,1,17150.168915862923
669,2,16150.777956818074
67,1,7707.0237739702625
67,2,7238.764009579887
670,1,8542.767331571322
670,2,9430.90906231688
671,1,9965.15198949993
671,2,10065.226295969567
672,1,4158.4167520222
673,1,12346.090054801105
674,1,7971.189050623358
674,2,8415.561415381235
675,1,8303.145776355004
675,2,8165.740990511189
677,1,16756.547253495064
677,2,16422.8889002474
678,1,7510.419481257332
678,2,10561.864066674942
679,1,12523.706819067678
679,2,12177.497593234833
68,1,12087.152243217262
68,2,12080.15148805542
681,1,10349.70098848194
681,2,10879.501176529015
683,1,10967.126949809868
683,2,10869.589983193879
684,1,13488.695432854505
684,2,13954.250685158431
685,1,3284.826872880914
686,1,3297.6633840453974
686,2,3083.2008238426465
686,3,6222.89998668953
687,1,6939.156985780078
687,2,6809.816982949569
688,1,17672.620571005704
688,2,17748.23552661864
689,1,6207.663547120149
689,2,6307.883588769671
69,1,9711.074737592402
69,2,10091.610327943608
690,1,9667.972448030305
690,2,9833.102898387704
692,1,10304.77872364684
696,1,18029.639672225192
696,2,17732.433881291945
697,1,11436.512090604549
697,2,10577.509386755606
698,1,13025.89186634249
698,2,12688.338767533358
699,1,13820.386374559741
699,2,13571.729546579923
7,1,9231.778210191964
7,2,9104.081204543985
