,closeness_global,geometry
48,3.112977422864069e-05,"LINESTRING (8592921.768625904 3326083.366235432, 8592930.997011691 3326067.896408265, 8592983.806978123 3325996.342351268, 8593029.815323668 3325942.134988229, 8593102.306576073 3325869.313607754, 8593137.16070864 3325839.147946175, 8593146.021740107 3325832.440248449, 8593171.881257819 3325812.849732844, 8593231.871331407 3325771.842882768, 8593380.571907209 3325673.016131993, 8593626.13157195 3325511.653936953, 8593685.798819015 3325472.144208129, 8593697.888115715 3325467.706344755, 8593711.335510204 3325469.773120944)"
49,3.3783462734761395e-05,"LINESTRING (8593624.773474162 3327747.859772949, 8593578.731732769 3327724.601411398, 8593334.552429717 3327601.271901608, 8593282.610755311 3327571.470083468, 8593248.791894007 3327551.34438274, 8593213.826441949 3327528.479493116, 8593176.924030751 3327501.898949763, 8593146.82324044 3327481.177322523, 8593114.039650403 3327451.261639716, 8593084.718096528 3327423.083385289, 8593053.426187666 3327392.318176498, 8593023.269737611 3327358.217828215, 8592994.059503226 3327324.003434885, 8592973.042383365 3327297.258442164, 8592951.067915881 3327264.768864662, 8592930.050796019 3327236.109115814, 8592908.076328536 3327198.838853267, 8592884.187165812 3327157.751648316, 8592868.47998566 3327128.49611391, 8592851.704138398 3327090.871080271, 8592833.67038089 3327052.295069201, 8592815.391720502 3327002.965618909, 8592803.92581295 3326968.57460383, 8592792.459905401 3326934.183677567, 8592781.951345468 3326892.133535902, 8592773.357480779 3326846.27925049, 8592766.667179383 3326796.595498883, 8592759.019530365 3326744.997128149, 8592758.11784249 3326713.650169375, 8592755.423910813 3326651.146684187, 8592758.184634184 3326574.200211778, 8592767.368492175 3326497.368309217, 8592782.329831736 3326422.476968753, 8592796.923816979 3326362.117847417, 8592821.603348088 3326286.124073773, 8592846.783816906 3326226.260103203, 8592870.428076752 3326177.36484201, 8592910.948371399 3326101.080477622, 8592917.015283648 3326091.291358769, 8592921.768625904 3326083.366235432)"
50,3.204936773448062e-05,"LINESTRING (8592921.768625904 3326083.366235432, 8592912.885330539 3326078.040555197, 8592899.57151944 3326068.733300093, 8592885.367152415 3326057.384544156)"
51,3.1807541797584216e-05,"LINESTRING (8598373.785402842 3324255.413505249, 8598362.954016389 3324205.409776794)"
52,3.191632617337984e-05,"LINESTRING (8598411.110828107 3324459.614248678, 8598394.680071265 3324412.018688312, 8598384.82829633 3324372.588291562, 8598376.301223334 3324314.228982791, 8598373.785402842 3324255.413505249)"
53,3.153765672541225e-05,"LINESTRING (8598362.954016389 3324205.409776794, 8598337.929394858 3324053.295125578, 8598320.096012434 3323964.801153193, 8598316.834351355 3323941.422614492, 8598316.222094154 3323895.641874675, 8598306.270131677 3323597.113722976, 8598309.364813522 3323560.82982954)"
54,1.7321417520847894e-05,"LINESTRING (8579600.265350215 3324169.783502574, 8579591.60469383 3324135.387122493, 8579573.537540475 3324080.122354196, 8579557.540929649 3324038.258715765, 8579534.007989295 3323980.458711539, 8579482.177634381 3323886.031869506, 8579460.30335444 3323848.859724777, 8579425.772048397 3323798.654673418, 8579326.886944726 3323666.296808185)"
55,1.774585397241722e-05,"LINESTRING (8579400.858746357 3325231.233763008, 8579416.165176341 3325223.89240258, 8579430.625578197 3325186.76724289, 8579448.57028011 3325140.70327975, 8579495.569369124 3325020.009604821, 8579539.573963834 3324910.76622527, 8579575.79732614 3324820.833832106, 8579591.126020022 3324766.846793899, 8579607.356401779 3324689.809773859, 8579611.586542429 3324663.425077258, 8579622.596040068 3324594.845396644, 8579631.345752044 3324493.212708784, 8579632.792905426 3324419.118707838, 8579629.508980446 3324363.168120795, 8579622.729623456 3324312.098993301, 8579619.690601358 3324280.440796795, 8579606.966783561 3324202.51910046, 8579603.204184772 3324186.087899527, 8579600.265350215 3324169.783502574)"
56,1.705649954062262e-05,"LINESTRING (8579326.886944726 3323666.296808185, 8579319.31721935 3323655.685415559, 8579296.908605853 3323624.92890593, 8579112.630320795 3323372.033470817, 8579098.871231733 3323353.473457442, 8579020.379858775 3323252.357335763, 8578953.009302946 3323165.567454906, 8578899.553683467 3323096.703902426, 8578890.21397819 3323084.609714361)"
57,5.323124341746872e-07,"LINESTRING (8599087.554845862 3320738.886946212, 8599072.248415876 3320745.262528173, 8599062.775127212 3320749.711494724, 8599046.889835875 3320757.164467659, 8599029.947009375 3320765.11177502, 8599010.55515408 3320774.212525151, 8598989.237471592 3320783.972389429, 8598935.225254659 3320809.538197647, 8598912.538342435 3320820.185350874, 8598856.834069241 3320846.321613044, 8598819.185817456 3320863.978195478, 8598760.509313859 3320891.50882147, 8598752.549970265 3320895.235347036, 8598701.688094925 3320919.1028807, 8598679.657967696 3320929.433239104, 8598619.434123177 3320957.686493324, 8598598.339079671 3320967.585920468, 8598543.914980622 3320993.114054592, 8598490.002951229 3321018.414080812, 8598480.852489088 3321022.711033919, 8598465.846621729 3321029.745871643, 8598450.484531999 3321036.945493192, 8598427.708564185 3321047.630854169, 8598409.463299643 3321056.199429777, 8598392.576132888 3321064.108889065, 8598377.44781409 3321071.207125755, 8598365.647948064 3321076.746288085, 8598325.673118921 3321095.493264149, 8598322.44485369 3321096.988967229, 8598315.364934074 3321100.335286594, 8598314.452114251 3321100.766252028, 8598289.149193995 3321112.630482365, 8598256.354472006 3321128.018506245, 8598238.320714496 3321136.485729594, 8598187.25846407 3321160.442423573, 8598156.91277088 3321174.664354327, 8598100.06190693 3321201.346359803, 8598069.037164846 3321215.897898824, 8598014.702121392 3321241.388481488, 8598010.627828028 3321248.030491142)"
